household_id,crop_code,crop_name,crop_domain,disposition_share1_pct_unconfirmed,disposition_share2_pct_unconfirmed,disposition_share3_pct_unconfirmed,disposition_share4_pct_unconfirmed,disposition_share5_pct_unconfirmed,disposition_share6_pct_unconfirmed,disposition_total_check_pct,ph_saq07,storage_detail1_unconfirmed,storage_detail2_unconfirmed,storage_flag2_unconfirmed,storage_flag3_unconfirmed,storage_flag4_unconfirmed,storage_flag_unconfirmed,storage_qty1_unconfirmed,storage_qty1_unit_unconfirmed,storage_qty2_unconfirmed,storage_qty2_unit_unconfirmed,storage_qty3_unconfirmed,storage_qty3_unit_unconfirmed,storage_qty4_unconfirmed,storage_qty4_unit_unconfirmed,storage_qty5_unconfirmed,storage_qty5_unit_unconfirmed,storage_qty6_unconfirmed,storage_qty6_unit_unconfirmed,storage_qty7_unconfirmed,storage_qty7_unit_unconfirmed,loss_detail_a_unconfirmed,loss_detail_b_unconfirmed,loss_detail_c_unconfirmed,loss_detail_d_unconfirmed,loss_detail_e_unconfirmed,loss_detail_f_unconfirmed,loss_detail_g_unconfirmed,loss_detail_h_unconfirmed,loss_detail_i_unconfirmed,loss_detail_j_unconfirmed,loss_detail_k_unconfirmed,loss_detail_ka_unconfirmed,loss_detail_l_unconfirmed,loss_detail_la_unconfirmed,loss_detail_m_unconfirmed,loss_detail_ma_unconfirmed,loss_detail_n_unconfirmed,loss_detail_na_unconfirmed,loss_detail_o_unconfirmed,loss_detail_oa_unconfirmed,loss_detail_p_unconfirmed,loss_detail_pa_unconfirmed,loss_detail_q_unconfirmed,loss_detail_r_unconfirmed,loss_detail_s_unconfirmed,loss_detail_t_unconfirmed,loss_detail_u_unconfirmed,loss_detail_v_unconfirmed,loss_detail_w_unconfirmed,loss_detail_x_unconfirmed,loss_detail_y_unconfirmed,loss_detail_z_unconfirmed,loss_extra_a_unconfirmed,loss_extra_b_unconfirmed,loss_extra_c_unconfirmed,loss_extra_d_unconfirmed,loss_extra_e_unconfirmed,loss_extra_f_unconfirmed,loss_reason1_occurred,loss_reason1_qty,loss_reason1_unit,loss_reason2_occurred,loss_reason2_qty,loss_reason2_unit,loss_reason3_occurred,loss_reason3_qty,loss_reason3_unit,ph_saq07_loss,total_loss_qty,household_size,region,zone_code,woreda_code,is_rural,survey_year
120101088801001111,46,46.MANGOS,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,5.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,0.0,,0.0,,,0.0,,,0.0,,,,,5.0,12.0,1.0,1.0,1,2021
120101088801001111,48,48.PAPAYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,12.0,1.0,1.0,1,2021
120101088801001119,42,42.BANANAS,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,1.0,2.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,0.0,,0.0,,0.0,,,0.0,,,0.0,,,,,3.0,12.0,1.0,1.0,1,2021
120101088801001119,46,46.MANGOS,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,1.0,1.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,0.0,,0.0,,0.0,,,0.0,,,0.0,,,,,3.0,12.0,1.0,1.0,1,2021
120101088801001119,65,65.GUAVA,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,,,,3.0,12.0,1.0,1.0,1,2021
120102088800501009,2,2.MAIZE,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,1.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,4.0,200.0,6.0,4.0,50.0,5.0,0.0,,,,250.0,7.0,12.0,1.0,2.0,1,2021
120102088800501009,48,48.PAPAYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,12.0,1.0,2.0,1,2021
120102088800501009,120,120.OTHER CEREAL,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,,,,7.0,12.0,1.0,2.0,1,2021
120102088800501023,2,2.MAIZE,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,1.0,3.0,6.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,,2.0,,5.0,,1.0,,3.0,,1.0,,,,,,,,,,,,0.0,,0.0,,0.0,,4.0,100.0,6.0,0.0,,,0.0,,,,100.0,6.0,12.0,1.0,2.0,1,2021
120102088800501023,46,46.MANGOS,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,8.0,6.0,4.0,2.0,10.0,4.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,,,,6.0,12.0,1.0,2.0,1,2021
