date,year,month,region_code,admin_pcode,rainfall_dekad_mm,rainfall_dekad_avg_mm,rainfall_dekad_pct_of_avg,rainfall_1month_mm,rainfall_1month_avg_mm,rainfall_1month_pct_of_avg,rainfall_3month_mm,rainfall_3month_avg_mm,rainfall_3month_pct_of_avg,data_version
1981-01-01,1981,1,14,ET14,1.4,3.6416667,74.05979,,,,,,,final
1981-01-11,1981,1,14,ET14,1.2,4.305,66.630844,,,,,,,final
1981-01-21,1981,1,14,ET14,1.3,5.7233334,58.75039,3.8999999,13.67,47.67006,,,,final
1981-02-01,1981,2,14,ET14,2.1,11.851666,42.13233,4.6,21.88,35.71429,,,,final
1981-02-11,1981,2,14,ET14,26.5,11.213333,194.28455,29.9,28.788334,103.29009,,,,final
1981-02-21,1981,2,14,ET14,2.1,8.238334,53.63213,30.7,31.303333,98.33808,,,,final
1981-03-01,1981,3,14,ET14,85.75,15.461666,443.51224,114.35,34.913334,299.02286,,,,final
1981-03-11,1981,3,14,ET14,25.2,17.291666,135.47664,113.05,40.991665,256.67697,,,,final
1981-03-21,1981,3,14,ET14,64.2,22.83,248.65253,175.15,55.583332,297.359,209.75,100.55666,203.44525,final
1981-04-01,1981,4,14,ET14,20.3,23.6,88.46153,109.7,63.721664,166.90515,228.65,120.515,186.15305,final
1981-04-11,1981,4,14,ET14,16.15,24.23,72.35716,100.65,70.66,139.63785,243.59999,140.44,170.92958,final
1981-04-21,1981,4,14,ET14,31.95,26.71,116.52476,68.399994,74.54,92.2806,274.25,161.42667,167.79161,final
1981-05-01,1981,5,14,ET14,3.25,31.026667,22.899706,51.35,81.96667,64.79494,275.4,180.60167,151.07622,final
1981-05-11,1981,5,14,ET14,5.9,21.058332,41.829227,41.100002,78.795,55.015217,254.79999,190.44667,132.92628,final
1981-05-21,1981,5,14,ET14,4.35,25.646667,30.509027,13.5,77.73167,22.36145,257.05,207.855,123.11198,final
1981-06-01,1981,6,14,ET14,4.7,31.72,26.41612,14.95,78.425,23.913694,176.0,224.11334,79.0002,final
